position,turn,layer,n_pairs,SSSF_mean,SSSF_sd,NNNF_mean,NNNF_sd,HHHF_mean,HHHF_sd,SSHF_mean,SSHF_sd,dz_SSSF_NNNF,dz_HHHF_NNNF,dz_SSHF_NNNF,dz_SSHF_SSSF
eot_u_4,4,15,160,-0.0004181834838050236,1.373912180151853,1.53963334308517,1.1673836225879197,1.7686410100328402,1.0218539052833453,0.9722083205105292,0.9672035939608983,-1.8991692702798915,0.5223622324290932,-1.1825135881417652,1.6333230884102734
eot_u_4,4,16,160,-0.01930193255499004,1.788755743009042,1.4911153190006914,1.4505647734063707,1.6151307793748273,1.1641597770029646,0.741863715762231,1.352660786350035,-1.8261655446348104,0.2071102755791583,-1.3716738371130193,1.2246286888983617
eot_u_4,4,17,160,0.3823350969640365,1.6330080558230968,1.6390680345206703,1.2902690058809432,1.949520234471612,1.1857358026705067,1.077267214126539,1.4592400100049319,-1.823591301390509,0.6482902603772902,-1.2473848855649252,1.3196556286062486
eot_u_4,4,18,160,0.13080158102727246,1.524758543259473,0.949474842500468,1.1351973397661672,1.155489152628002,1.091947111511836,0.5356370687688388,1.2845848227877001,-0.983341899922336,0.446246918984142,-0.7263992638150621,0.7930753684089351
eot_u_4,4,19,160,0.039529442799174586,2.1020695427091907,0.2819602284989666,1.5296658056513017,0.4060679029495565,1.4508141679194473,0.295884215883763,1.6441938743496285,-0.24772888519849703,0.26647428042707294,0.0261124373555432,0.3662997004066898
eot_u_4,4,20,160,0.42086979959554266,2.0153233011293152,0.7010388909713926,1.4414765702194765,0.6384832761315554,1.4079428225229835,0.5842590698437379,1.5688123455022773,-0.30766484301379887,-0.09863555133039709,-0.18784459481658503,0.2396113647834943
eot_u_4,4,21,160,0.3538303253934389,2.251494578933097,0.6901362606982933,1.493629893584181,0.7482932864194346,1.4631733640453957,0.6936250111961462,1.6667482335361459,-0.3317686147586342,0.09252771656362074,0.006201251511957006,0.4346287164885558
eot_u_4,4,22,160,0.5438387030949874,1.9716874280170498,1.3381207865861868,1.5266347400291616,1.7189174772580238,1.502753865274657,1.1147033410775964,1.5099866397404322,-0.9598135930278641,0.7652809911657914,-0.35943666267434204,0.860131564644113
eot_u_4,4,23,160,0.6370020048333048,2.0697905984004543,1.757046931112675,1.7559956657044253,2.097781335225013,1.6901887845913937,1.3116291777242606,1.7602858733875286,-1.448759344717333,0.5399727832608741,-0.6854718418837327,1.2383308926095133
eot_u_4,4,24,160,1.5370265716924068,2.010305270990148,2.2860466330073903,1.7927840698356416,2.6348752427818263,1.6226023791596225,1.8537122569686602,1.696316258462436,-1.0433221687508518,0.58179528931825,-0.6897518128765431,0.605246369084783
eot_u_4,4,25,160,1.5012889059172458,1.905776005720761,2.325571458851956,1.6762079240028047,2.7468190385540696,1.5951240056564955,1.9154550831238306,1.5910336589074443,-1.125486974472311,0.6850042460746598,-0.6297873934860749,0.7789723478817602
eot_u_4,4,26,160,1.0113367947305325,1.871335486247161,1.7736317566935758,1.684086415832821,2.405892472385326,1.6429722375729237,1.5367275575537207,1.6916262017376413,-1.2349367625341023,0.9794389003942625,-0.4154754012453762,1.0215507099432655
eot_u_4,4,27,160,0.9110344895160664,1.7344895142668366,1.724903888282973,1.3519782857300118,2.237747735923461,1.3279634746951556,1.386968386876379,1.4420745590028596,-1.2808933922269807,0.9628123552127025,-0.7457479338757077,0.8459088333568672
eot_u_4,4,28,160,0.4544955411733298,1.5401916130783764,1.39035712528256,1.2601763440554326,1.7532507588177417,1.2539006050717814,0.8985884535504685,1.3111848780849842,-1.596993582344662,0.7294594953519137,-0.984200626970018,0.778064375508307
eot_u_4,4,29,160,-0.6720748749984778,1.5425631204004175,0.5829150373188512,1.4603092784014253,0.776731191169248,1.256084222256923,-0.2539919379624724,1.3398668243233687,-1.927769786585372,0.2952010275228589,-1.4743369707091714,0.6367723939713471
eot_u_4,4,30,160,-0.1859994822208871,1.4116669407503275,0.14583743038529343,1.4728644691438373,0.43827975836346694,1.4473399368799635,-0.22034370125716335,1.2874220815748956,-0.427394033290005,0.4573048959362205,-0.6905376085338719,-0.048479853747230316
eot_u_4,4,31,160,-0.15076647446615765,1.1279376862977795,-0.2087470133566085,1.4255012326997243,-0.03603999306178217,1.2730672189506371,-0.443825275812038,1.14721308864374,0.0546581037016917,0.2152179863500077,-0.32663498759885334,-0.3454498267381403
